City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Kaeo,NZ,2022-03-22 13:17:21,-35.1,173.7833,68.32,95,18,4.83
241,Mogok,MM,2022-03-22 13:17:21,22.9167,96.5,66.76,84,100,4.03
242,Volodarskiy,RU,2022-03-22 13:17:22,46.4013,48.5409,45.99,35,5,15.03
243,San Policarpo,PH,2022-03-22 13:17:22,12.1791,125.5072,80.69,84,99,8.05
244,Chokurdakh,RU,2022-03-22 13:17:23,70.6333,147.9167,4.26,96,100,6.44
245,Constitucion,CL,2022-03-22 13:17:23,-35.3333,-72.4167,58.75,67,0,5.01
246,Salym,RU,2022-03-22 13:17:23,60.0625,71.4789,22.21,95,100,3.87
247,Soissons,FR,2022-03-22 13:17:24,49.3333,3.3333,64.42,37,6,4.88
248,Coihaique,CL,2022-03-22 13:16:08,-45.5752,-72.0662,51.75,82,100,6.91
249,Agirish,RU,2022-03-22 13:17:24,61.9247,63.0231,25.65,95,100,10.42
250,Montlucon,FR,2022-03-22 13:17:25,46.3333,2.6,62.71,40,0,1.01
251,Portland,US,2022-03-22 13:17:05,45.5234,-122.6762,53.2,96,100,4.61
252,Provideniya,RU,2022-03-22 13:17:25,64.3833,-173.3,8.6,89,36,4.43
253,Atherton,GB,2022-03-22 13:14:34,53.5237,-2.4935,65.59,59,100,8.68
254,Hutang,CN,2022-03-22 13:17:26,31.5333,119.4833,43.95,91,100,5.39
255,Bilibino,RU,2022-03-22 13:17:26,68.0546,166.4372,5.77,96,100,4.29
256,Pochutla,MX,2022-03-22 13:17:27,15.7432,-96.4661,75.81,67,26,4.18
257,Tamandare,BR,2022-03-22 13:17:27,-8.7597,-35.1047,81.99,75,93,6.46
258,Ostrovnoy,RU,2022-03-22 13:17:28,68.0531,39.5131,32.99,73,100,32.44
259,Vila Velha,BR,2022-03-22 13:17:28,-20.3297,-40.2925,78.75,69,75,12.66
260,Santo Domingo,DO,2022-03-22 13:15:19,18.5001,-69.9886,78.04,81,20,5.75
261,Marawi,PH,2022-03-22 13:17:29,7.9986,124.2928,69.33,98,100,2.46
262,Mariental,NA,2022-03-22 13:17:29,-24.6333,17.9667,89.22,19,1,9.57
263,Peleduy,RU,2022-03-22 13:17:29,59.6289,112.7406,22.84,94,100,5.3
264,Kavieng,PG,2022-03-22 13:17:30,-2.5744,150.7967,81.77,79,100,10.71
265,Asau,RO,2022-03-22 13:17:30,46.4333,26.4,58.28,45,0,17.0
266,Belaya Gora,RU,2022-03-22 13:17:30,68.5333,146.4167,-8.0,100,100,3.36
267,Nishihara,JP,2022-03-22 13:17:31,26.1842,127.7558,67.28,74,75,9.22
268,Yuzhnyy,RU,2022-03-22 13:17:31,53.2542,83.6936,26.98,86,75,15.66
269,Uppsala,SE,2022-03-22 13:17:32,60.0,17.75,49.51,43,0,10.36
270,Yulara,AU,2022-03-22 13:17:32,-25.2406,130.9889,85.84,20,85,8.05
271,Karratha,AU,2022-03-22 13:17:32,-20.7377,116.8463,88.12,52,100,20.8
272,Cobija,BO,2022-03-22 13:17:33,-11.0267,-68.7692,77.18,94,75,0.0
273,Matagami,CA,2022-03-22 13:17:33,49.7502,-77.6328,8.71,78,100,13.8
274,Novyy Urengoy,RU,2022-03-22 13:16:41,66.0833,76.6333,4.5,94,100,8.37
275,Juneau,US,2022-03-22 13:15:32,58.3019,-134.4197,42.98,95,100,18.41
276,Ca Mau,VN,2022-03-22 13:17:34,9.1769,105.15,81.3,74,74,7.02
277,Praia,CV,2022-03-22 13:17:34,14.9215,-23.5087,77.54,50,20,25.32
278,Nambucca Heads,AU,2022-03-22 13:17:34,-30.65,153.0,66.2,86,22,5.64
279,College,US,2022-03-22 13:17:35,64.8569,-147.8028,-7.62,66,0,6.91
280,Fortuna,US,2022-03-22 13:17:35,40.5982,-124.1573,47.66,95,100,5.75
281,Lalmohan,BD,2022-03-22 13:17:36,22.3384,90.7419,79.12,79,13,12.91
282,Teguise,ES,2022-03-22 13:17:36,29.0605,-13.564,66.42,49,40,12.66
283,Votice,CZ,2022-03-22 13:17:36,49.6401,14.6381,61.52,30,0,15.21
284,Kikwit,CD,2022-03-22 13:17:37,-5.041,18.8162,71.06,94,100,5.91
285,Vila Franca Do Campo,PT,2022-03-22 13:17:37,37.7167,-25.4333,62.2,65,69,16.08
286,Rayevskiy,RU,2022-03-22 13:17:38,54.0658,54.9468,29.5,86,78,8.14
287,San Patricio,US,2022-03-22 13:17:38,28.017,-97.5169,65.89,71,27,12.19
288,Tignere,CM,2022-03-22 13:17:38,7.3667,12.65,96.35,9,81,7.02
289,Dogondoutchi,NE,2022-03-22 13:17:39,13.6393,4.0287,104.68,7,9,9.93
290,Hay River,CA,2022-03-22 13:15:31,60.8156,-115.7999,12.18,79,75,5.75
291,Puerto Ayacucho,VE,2022-03-22 13:17:39,5.6639,-67.6236,80.76,68,15,2.64
